School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Saint Francis Medical Center College Of Nursing,318356,159178
Grabber School Of Hair Design,318144,159072
Paul Mitchell The School Bradley,317512,158756
Louisiana State University Health Sciences Center In Shreveport,316992,158496
Tillamook Bay Community College,315778,157889
Emmaus Bible College,313744,156872
Toni&Guy Hairdressing Academy I Tigi Creative School,313195,156598
Mayville State University,312720,156360
Ohio State College Of Barber Styling,312642,156321
Bard College At Simon'S Rock,312339,156170
Brittany Beauty Academy,312065,156033
Advanced Career Institute,311065,155533
Bellus Academy,310881,155441
Larry'S Barber College,310874,155437
University Of Massachusetts Medical School,310132,155066
Lincoln University,310107,155054
California Nurses Educational Institute,309864,154932
Homestead Schools,309756,154878
St. Johns County School District,308355,154178
Carver Career And Technical Education Center,307983,153992
Autry Technology Center District No.15,307354,153677
Southeastern Institute,306951,153476
Paul Mitchell The School Phoenix,306817,153409
Dallas Theological Seminary,306745,153373
Cambridge Technical Institute,306689,153345
Aveda Fredric'S Institute,306542,153271
Flint Hills Technical College,306504,153252
Paul Mitchell The School Great Lakes,306375,153188
Paul Mitchell The School Denver,306368,153184
Yeshiva Karlin Stolin,306121,153061
Eve'S College Of Hairstyling,305703,152852
Emerald Coast Technical College,305110,152555
Universidad Central Del Caribe,305084,152542
Robert Fiance Beauty Schools,304898,152449
Leston College,304702,152351
Neo-Esthetique European Institute,304166,152083
Palo Alto University,303711,151856
Northeast Technical Institute,303535,151768
College Of The Atlantic,303385,151693
Tricoci University Of Beauty Culture,303260,151630
"Meridian Technology Center, School District Number 16",302793,151397
Paul Mitchell The School Lexington,302711,151356
Central Texas Beauty College 2,302581,151291
Paul Mitchell The School Tulsa,302285,151143
Universidad Pentecostal Mizpa,301648,150824
Daytona College,301333,150667
Prescott College,301297,150649
Paul Mitchell The School Reno,300897,150449
Capilo School Of Hair Design,300391,150196
Modern Technology School,300190,150095
Atlanta School Of Massage,298408,149204
Pj'S College Of Cosmetology,297401,148701
Faith Baptist Bible College & Theological Seminary,297034,148517
Tenaj Salon Institute,296389,148195
Aultman College Of Nursing And Health Sciences,295724,147862
Beulah Heights University,295126,147563
Claremont Graduate University,295107,147554
Compass Career College,294870,147435
Donnelly College,294832,147416
California Aeronautical University,294711,147356
G Skin & Beauty Institute,294614,147307
Valor Christian College,294534,147267
Twin City Beauty College,294015,147008
Orange Technical College - Westside Campus,293856,146928
University Of Maine - Machias,293556,146778
Fuller Theological Seminary,293342,146671
Paul Mitchell The School Spokane,293175,146588
Butler Technology And Career Development Schools,292763,146382
Ponce Health Sciences University,292489,146245
Northwest Christian University,292486,146243
City College,292345,146173
San Francisco Institute Of Esthetics & Cosmetology,291524,145762
Elizabeth Grady School Of Esthetics And Massage Therapy,291436,145718
Ravenscroft Beauty College,291246,145623
Greater Altoona Career & Technology Center,291116,145558
Toni&Guy Hairdressing  Academy,290981,145491
National University Of Health Sciences (The),290635,145318
New Community Career And Technical Institute,289766,144883
Toni & Guy Hairdressing Academy,289022,144511
John Marshall Law School (The),288952,144476
Capitol Technology University,288665,144333
Avalon School Of Cosmetology,288531,144266
Milwaukee Career College,288092,144046
Salon Professional Academy (The),287982,143991
Yeshivath Zichron Moshe,287275,143638
"Florida Institute Of Recording, Sound And Technology",287242,143621
Yeshiva Ohr Elchonon Chabad - West Coast Talmudical Seminary,286933,143467
Aveda Fredric'S Institute,286480,143240
Corinth Academy Of Cosmetology,286443,143222
University Of Texas Md Anderson Cancer Center,285840,142920
Beauty Institute (The),285213,142607
Irene'S Myomassology Institute,284945,142473
Associated Beth Rivkah Schools,284824,142412
Eastern Virginia Career College,284478,142239
Aveda Institute Chapel Hill,284390,142195
Paul Mitchell The School Cleveland,284158,142079
Adult And Community Education @Hudson,284038,142019
Jacksonville College,283804,141902
Pacific College,283666,141833
San Francisco Art Institute,283166,141583
Acupuncture And Massage College,283101,141551
Allen College,282895,141448
University Of Spa & Cosmetology Arts,281764,140882
Theological University Of The Caribbean,281192,140596
Paul Mitchell The School Huntsville,280920,140460
Boston Architectural College,279755,139878
Los Angeles College Of Music,279751,139876
Illinois Eastern Community Colleges -Frontier Community College,279328,139664
Moore Norman Technology Center School District No. 17,278987,139494
P&A Scholars Beauty School,278254,139127
Paul Mitchell The School Columbus,278089,139045
Fremont College,277847,138924
Aveda Arts & Sciences Institute Lafayette,277500,138750
Lancaster Beauty School,276907,138454
"University Of California, Hastings College Of The Law",276618,138309
Innovate Salon Academy,276460,138230
"North Haven Academy, Llc",276333,138167
American Institute Of Medical Sciences & Education,276285,138143
Colegio Educativo Tecnológico Industrial,276174,138087
My-Le'S Beauty College,275942,137971
Pennsylvania College Of Art & Design,275900,137950
Gupton-Jones College Of Funeral Service,275886,137943
Employment Solutions,275569,137785
Sebring Career Schools,275383,137692
Tennessee College Of Applied Technology Crump,274881,137441
King'S University (The),274750,137375
Modern College Of Design (The),274561,137281
Beck School Of Practical Nursing,274401,137201
Catherine Hinds Institute Of Esthetics,274119,137060
Liberty Junior College,274020,137010
Eastern Suffolk Boces,273593,136797
Ace Cosmetology & Barbering Training Center,273453,136727
American Medical Academy,273262,136631
Northeast Ohio Medical University,272933,136467
Sweet Briar College,272489,136245
New York Law School,271478,135739
Xcell Academy A Paul Mitchell School,271411,135706
Good Samaritan College Of Nursing And Health Science,270661,135331
Medspa Academies,270463,135232
Granite State College,269441,134721
Reading Hospital School Of Health Sciences,269244,134622
Riveroak Technical College,269159,134580
Elaine Steven Beauty College,269098,134549
Carolinas College Of Health Sciences,268630,134315
Gwinnett College-Sandy Springs,268254,134127
Commonwealth Technical Institute,268150,134075
Wade College,268048,134024
Tint School Of Makeup & Cosmetology,267928,133964
Lenape Technical School,267853,133927
Gordon Conwell Theological Seminary,267766,133883
Rizzieri Aveda School For Beauty And Wellness,267582,133791
Harris School Of Business,267318,133659
Community Enhancement Services,267036,133518
My Le'S Beauty College,266867,133434
Paul Mitchell The School Portland,266631,133316
Nuvani Institute,266603,133302
Blackfeet Community College,266062,133031
Tricoci University Of Beauty Culture,265804,132902
Orange Technical College-Winter Park Campus,265697,132849
Montgomery Beauty School,265117,132559
Crowley'S Ridge College,265023,132512
Tennessee College Of Applied Technology-Pulaski,263555,131778
South Texas College Of Law Houston,263331,131666
Pioneer Technology Center,262829,131415
Rocky Vista University,262167,131084
Genesee-Livingston-Steuben-Wyoming Boces,262134,131067
Baptist College Of Florida (The),262085,131043
Tennessee College Of Applied Technology - Hohenwald,261811,130906
Saint Joseph'S College Of Nursing At St Joseph'S Hospital Health Cente,261644,130822
Berk Trade & Business School,261450,130725
Toni&Guy Hairdressing Academy,261110,130555
Bethany Global University,261065,130533
Adler University,260680,130340
Tint School Of Makeup & Cosmetology,260547,130274
Chatfield College,260540,130270
Asbury Theological Seminary,260367,130184
Little Big Horn College,260189,130095
Electrical And Hvac/R Training Center,259836,129918
E.D.P. School,259277,129639
Make-Up Designory,258613,129307
Rabbinical Seminary Of America,258526,129263
Paul Mitchell The School - Louisville,258448,129224
Career Academy Of Beauty,258413,129207
Eric Fisher Academy,256675,128338
International Academy Of Style,256631,128316
California Technical Academy,255559,127780
Seminary Bnos Chaim,255559,127780
Orange Technical College - Orlando Campus,255268,127634
Best Care College,255167,127584
Greater Johnstown Area Vocational Technical School,255046,127523
East San Gabriel Valley Rop And Technical Center,255012,127506
Alaska Pacific University,254627,127314
Mid-America Area Vocational-Technical School District No.  #8,253644,126822
Academy Of Hair Design,253226,126613
Capri College,253210,126605
Cabarrus College Of Health Sciences,253120,126560
Capri College,252527,126264
South Texas Training Center,252140,126070
Southern Oklahoma Area Vocational Technical District #20,252054,126027
Tennessee School Of Beauty,251557,125779
Brooklyn Law School,251110,125555
Arkansas Beauty School- Little Rock,250493,125247
Randall University,250159,125080
Arkansas College Of Barbering & Hair Design,249875,124938
Jenny Lea Academy Of Cosmetology,249743,124872
College Of Hair Design,249536,124768
San Francisco Conservatory Of Music,249016,124508
Charlotte Technical College,248791,124396
Sylvain Melloul International Hair Academy,248788,124394
Tennessee College Of Applied Technology - Covington,248249,124125
Tri-Rivers Career Center,247988,123994
Art Academy Of Cincinnati,247921,123961
West Virginia School Of Osteopathic Medicine,247036,123518
Carnegie Institute,246994,123497
University Of Saint Katherine,246937,123469
Miles Community College,246778,123389
Summit Salon Academy,246137,123069
Tennessee College Of Applied Technology - Athens,246105,123053
Ohio Medical Career College,246076,123038
Ata College,246006,123003
Pomona Adult School,245993,122997
Cda Technical Institute,245723,122862
Glen Dow Academy Of Hair Design & Salons,245537,122769
Saint Anthony College Of Nursing,245511,122756
Miami Valley Career Technology Center,244731,122366
North American University,244712,122356
American Trade School,244354,122177
Mt Training Center,244174,122087
International Culinary Center,244131,122066
Wyotech,243773,121887
Hilltop Beauty School,243264,121632
Pickaway Ross County Joint Vocational School District,243181,121591
Associated Technical College,243114,121557
Columbiana County Vocational School District,242978,121489
