School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Uei College,5025381,2512691
"State College Of Florida, Manatee-Sarasota",5023266,2511633
University Of Saint Thomas,5005202,2502601
University Of North Alabama,5002648,2501324
"New School, The",4996686,2498343
Century College,4996271,2498136
Imperial Valley College,4995150,2497575
College Of Lake County,4973042,2486521
Washtenaw Community College,4968890,2484445
Bluegrass Community & Technical College,4961119,2480560
University Of Wisconsin - Stout,4952605,2476303
Suffolk University,4935367,2467684
Monmouth University,4935299,2467650
Forsyth Technical Community College,4933805,2466903
City Colleges Of Chicago - Malcolm X College,4919757,2459879
Lorain County Community College,4917956,2458978
Chattahoochee Technical College,4903653,2451827
University Of Indianapolis,4902143,2451072
Mclennan Community College,4898030,2449015
Vincennes University,4866528,2433264
Estrella Mountain Community College,4856585,2428293
Blue Cliff College,4843075,2421538
Brown University,4842231,2421116
Rensselaer Polytechnic Institute,4828782,2414391
Quinsigamond Community College,4828361,2414181
Southeastern University,4820567,2410284
Normandale Community College,4802575,2401288
Howard Community College,4800099,2400050
Amarillo College,4794394,2397197
Northwest Missouri State University,4792789,2396395
University Of Wisconsin - Platteville,4792670,2396335
Uei College,4785647,2392824
Phoenix College,4772192,2386096
Dalton State College,4768309,2384155
Tufts University,4765237,2382619
Green River College,4763642,2381821
Missouri Southern State University,4756273,2378137
Cape Fear Community College,4726439,2363220
Loyola Marymount University,4723135,2361568
Devry University,4713768,2356884
Aurora University,4697683,2348842
Nashville State Community College,4689355,2344678
Volunteer State Community College,4689090,2344545
Bristol Community College,4686502,2343251
Southwestern Illinois College,4677515,2338758
Schoolcraft College,4676826,2338413
Porter And Chester Institute,4642939,2321470
University Of New Haven,4642795,2321398
Minneapolis Community And Technical College,4640122,2320061
University Of Denver,4626269,2313135
University Of Southern Maine,4616245,2308123
Ramapo College Of New Jersey,4606705,2303353
Michigan Technological University,4605779,2302890
Elgin Community College,4600718,2300359
University Of Michigan - Flint,4600155,2300078
Southern Methodist University,4598259,2299130
Belmont University,4597337,2298669
Berkeley College,4596874,2298437
San Diego City College,4592301,2296151
Ithaca College,4583253,2291627
Ventura College,4581538,2290769
Saint Paul College - A Community & Technical College,4580520,2290260
Saint Leo University,4579587,2289794
University Of Guam,4564698,2282349
National University,4563497,2281749
Suny College At Geneseo,4552123,2276062
Central Texas College District,4544176,2272088
Indiana Wesleyan University,4543246,2271623
Edic College,4538123,2269062
Arizona Western College,4528738,2264369
Case Western Reserve University,4514183,2257092
Westfield State University,4512060,2256030
Eastern Illinois University,4506779,2253390
Indiana University - South Bend,4500518,2250259
Washburn University - Topeka,4500174,2250087
University Of Puerto Rico Carolina Regional College,4491903,2245952
Northeast State Community College,4488316,2244158
Irvine Valley College,4485810,2242905
United Talmudical Seminary,4482702,2241351
University Of Arkansas - Pulaski Technical College,4476116,2238058
University Of Hartford,4467175,2233588
Berkeley College,4464258,2232129
Community College Of Denver,4443177,2221589
West Georgia Technical College,4442806,2221403
Coastal Alabama Community College,4437762,2218881
Eastern Connecticut State University,4433725,2216863
University Of Wisconsin - River Falls,4427466,2213733
University Of San Diego,4426552,2213276
Suny College Of Technology At Alfred,4425878,2212939
Itawamba Community College,4419244,2209622
Mcphs University,4414483,2207242
Midwestern State University,4413874,2206937
Calhoun Community College,4392248,2196124
State University Of New York College At Potsdam,4389510,2194755
Augusta Technical College,4386678,2193339
Pearl River Community College,4385949,2192975
Columbia College,4385319,2192660
New York Institute Of Technology,4377210,2188605
Benedict College,4372336,2186168
Mohawk Valley Community College - Suny Office Of Community Colleges,4368811,2184406
